iter	Passed	Remaining
943	2317	137
944	2319	135
945	2321	132
946	2323	130
947	2325	127
948	2326	125
949	2328	122
950	2330	120
951	2332	117
952	2334	115
953	2336	112
954	2339	110
955	2340	107
956	2342	105
957	2344	102
958	2346	100
959	2348	97
960	2350	95
961	2352	92
962	2354	90
963	2356	87
964	2358	85
965	2360	83
966	2362	80
967	2364	78
968	2366	75
969	2368	73
970	2370	70
971	2372	68
972	2373	65
973	2376	63
974	2377	60
975	2379	58
976	2381	56
977	2383	53
978	2385	51
979	2387	48
980	2389	46
981	2391	43
982	2393	41
983	2395	38
984	2397	36
985	2399	34
986	2401	31
987	2403	29
988	2405	26
989	2407	24
990	2409	21
991	2410	19
992	2412	17
993	2414	14
994	2416	12
995	2418	9
996	2420	7
997	2422	4
998	2424	2
999	2427	0
